Проект,Категории,Цена,Заявки
Редактирование темы WordPress,Редактирование и Корректура,,1
"Создание, ведение групп в соц сетях (ВК, Одноклассники, ФБ).",Социальные сети (SMM и SMO),,10
Озвучка мультиков (музыка + звуки + эмоции),Озвучивание,$20,16
Программист для мелких правок на сайте ( wordpress),Веб-программирование,,4
Необходимо выполнить редактуру и корректировку текста,Редактирование и Корректура,,11
Баннерная реклама AdWords,Контекстная реклама,,указан
Скопировать сайт,Веб-программирование,,17
"Разработка УТП, продающее коммерческое предложение",Копирайтинг,,3
Дизайн сайта с макета,Дизайн сайтов,,указан
Услуги по Java разработке на проекте (2 мес. на full-time на удаленке),Веб-программирование,,2
Правки на сайте,Веб-программирование,,3
Отрисовать сайт по ремонту грузовых автомобилей,Дизайн сайтов,,51
Написать трейд-бота (бота для передачи и приема вещей) в Steam. Срок 5,Веб-программирование,,2
Заполнить интернет магазин,Наполнение сайтов,,13
Разработка логотипа и фирменного стиля для сети языковых школ,Логотипы и Знаки,,32
Создание качественной тизерной рекламы.,Контекстная реклама,,1
Динамическая вставка контента на сайте (Просто+инструкция),Наполнение сайтов,,3
Натянуть PSD на Wordpress (главная+6 внтуренних),Системы управления (CMS),,15
Создание русифицированной копии сайта,Веб-программирование,,3
Натянуть PSD на Wordpress (главная+6 внтуренних),Системы управления (CMS),,15
Создание русифицированной копии сайта,Веб-программирование,,3
Нужен толковый PHPшник,Веб-программирование,$800,9
Дизайн меню,Дизайн сайтов,,10
Дизайн + шаблон для интернет-магазина на OpenCart 2.1,Интернет-магазины,,18
Доработки на сайте под YII,Веб-программирование,,5
Логотип для мебельной компании / сайта,Логотипы и Знаки,$100,17
Разместить готовую статью в википедии,Наполнение сайтов,,3
Компонент joomla,Веб-программирование,,5
Написать статью по теме недвижимости,Копирайтинг,,19
Задачи по химии,"Рефераты, Курсовые и Дипломы",,нет
Требуется нарисовать Landing page химчистка ковров и мягкой мебели,Дизайн сайтов,,40
Сайт на шаблоне prestashop или opencart,Дизайн сайтов,$60,5
Битрикс неверно считает общую стоимость товаров в корзине,Интернет-магазины,,5
Сайт компании по продаже сушеных продуктов,Сайты «под ключ»,,4
Написать 10 историй про машинки (сказок).,Копирайтинг,,15
Логотип для сайта,Логотипы и Знаки,,32
Отчет на основе данных Яндекс.Метрика через АПИ,Веб-программирование,,2
[bitrix]Необходимо разместить функцию умный фильтр на внешней странице,Веб-программирование,,2
Оптимизировать и продвинуть интернет магазин,Поисковые системы (SEO),,23
Доработка корзины на YII,Веб-программирование,,3
Закрыть запросы,Веб-программирование,,3
Мелкие доработки магазина на OPENCART,Веб-программирование,,5
Анализ прайс листов в Опен офис и либо Офис,Редактирование и Корректура,,5
Flat-дизайн сайта,Дизайн сайтов,,34
Фитнес-объявления для радио для ведущего,Озвучивание,,20
Доработака шаблона DLE,Веб-программирование,$10,указан
Перенести сайт на Wordpress,Системы управления (CMS),,14
Подбор треков и оформление в фитнес-стеле для хорошего DJ-SP,Музыка и Звуки,$100,3
Сделать агрегатор по поиску туров,Веб-программирование,,7
Калькулятор обменника валют,Веб-программирование,,указан
Написание положительныйх отзывов,Копирайтинг,,указан
Создание сайта под ключ,Сайты «под ключ»,,12
"PHP, XML",Системное администрирование,,3
Нарисовать дизайн для лендинга,Дизайн сайтов,$40,25
Подключить корзинный виджет Яндекс Доставки к CMS OpenCart,Системы управления (CMS),,2
Создать короткое аудио для рождественской заставки (5-7 сек),Аудиомонтаж,,17
Перевести буклет А 4 на русский язык и внести правки в иллюстраторе,Переводы,,указан
Разместить объявление о продаже автомобиля,Наполнение сайтов,,2
Курсовая работа,"Рефераты, Курсовые и Дипломы",,1
Продвижение сайта в топ,Поисковые системы (SEO),,12
Настроить рекламу в Инстаграмм через aitarget,Социальные сети (SMM и SMO),,4
Интегрировать новую фотогалерею в сайт,Веб-программирование,$30,5
Написать 10 статей на сайт мебельной тематики,Копирайтинг,,29
Доработки сайта на Wordpress,Веб-программирование,,13
Дизайн группы вконтакте,Дизайн сайтов,,17
Перенести верстку на сайт на php,Системы управления (CMS),$80,6
Ведение бизнеса в социальных сетях.,Социальные сети (SMM и SMO),,11
Программная верстка,HTML-верстка,,2
"Сделать сайт, мин.графич.нагрузка, выкладка учебников",Сайты «под ключ»,,14
Написать качественный эффективный пресс-релиз,Копирайтинг,,6
"Ищем подрядчиков на верстку на Susy, программирование на Yii 2.",HTML-верстка,,1
Разработка дизайна сайта под декстоп и мобайл,Дизайн сайтов,,указан
Нужен человек знающий хорошо php js Joomla и redshop,Веб-программирование,,1
Топ-слайд для календаря,Иллюстрации и Рисунки,,5
Внести простые правки на сайте (контент-менеджемент),Наполнение сайтов,$70,12
Добавить отзыв в Google+ о компании,Копирайтинг,,10
Отзыв в фейсбук,Копирайтинг,,12
Переверстка сайта на Modx,HTML-верстка,$110,4
Продвижение аккаунта instagram,Поисковые системы (SEO),,3
Разработка рекламной кампании в facebook,Социальные сети (SMM и SMO),,3
Презентация по предмету введение в специальность,"Рефераты, Курсовые и Дипломы",,4
Создание этикетки для охлажденной рыбы,Дизайн продукции,$75,16
Русификация шаблона joomla,Переводы,,6
Перевод с польского на русский,Переводы,,12
"Парсер VK по пользователям, добавившим песню в аудиозаписи",Прикладное ПО,,10
Сделать две картинки на Гиф,Иллюстрации и Рисунки,,7
Отредактировать текст. (проверка на ошибки и т.д.),Редактирование и Корректура,,22
"Создание видео для проекта под kickstarter, indiegogo",Видеомонтаж,,11
Маркетинг кит для студии дизайна интерьеров,Дизайн продукции,,13
Дизайн одностраничного сайта,Дизайн сайтов,,54
Ищу человека с углубленным знанием БД и движка WordPress.,Системы управления (CMS),,5
Доработки по дизайну на сайте стоматологии,HTML-верстка,,4
Написать описание карточек товаров для автомобильных аксессуаров,Копирайтинг,,27
Презентация для проекта Жилого Комплекса в PDF,Презентации,,12
Сделать небольшой клип для VR,Презентации,,5
Конвертер адресов ВК,Прикладное ПО,,14
Нужны статьи недорого и хорошо!,Копирайтинг,,26
Написать 3 статьи на игровую тематику,Копирайтинг,$850,10
Адаптивная верстка темы под Prestashop,HTML-верстка,,6
Разработать HTML5 игру в танки,Веб-программирование,,3
Визуальный редактор для сайта на SmallNuke,Системное администрирование,,2
Вредоносный код на сайте,Веб-программирование,,11
Smm-продвижение сайта,Социальные сети (SMM и SMO),,4
"Надо редактор-корректор,работа удаленно.",Редактирование и Корректура,,31
Требуется копирайтер на кредитно-финансовую тему,Копирайтинг,,13
Устрлить спам охоту на группу. СРОЧНО.,Редактирование и Корректура,,1
Написать приложение для Вконтакте - запись на прием клиентов,Прикладное ПО,,указан
Надо сваять промо видео для онлайн-сервиса,Видеомонтаж,,5
Интернет-магазин с интеграцией 1с,Интернет-магазины,,5
Художественный перевод с финского,Переводы,,4
Холодных звонки,Служба поддержки,,4
Лечение сайта от вируса,Веб-программирование,,11
Преролл для YouTube канала,Видеомонтаж,,13
Нужна реалистичная иллюстрация,Иллюстрации и Рисунки,,16
Нарисовать дизайн для всего сайта.,Дизайн сайтов,$300,указан
Прототип приложения дополненной реальности,Прикладное ПО,,нет
Перевод статей ENG-RU тематики IT,Переводы,,20
Верстка небольшого сайта,HTML-верстка,,67
Модернизация сайта (проект на JAVA),Веб-программирование,$360,3
Нужно провести интеграцию Drupal,Системы управления (CMS),,1
1С - битрикс,Системы управления (CMS),,4
Вёрстка + CMS для небольшого сайта.,HTML-верстка,,6
"Разработка листовки и визитки ""Ремонт айфонов""",Дизайн продукции,,указан
Проиндексировать 30 ссылок,Поисковые системы (SEO),,4
Создать игру,Разработка игр,,2
Постоянная работа для талантливого и опытного копирайтера : ),Копирайтинг,,16
Написание КП по продвижению сайта,Фирменный стиль,,6
Макеты банеров (наружка),Наружная реклама,,34
Диплом,"Рефераты, Курсовые и Дипломы",,указан
Ищем дизайнера на постоянную работу.,Дизайн сайтов,$400,6
Размещение статьи на медицинском сайте,Наполнение сайтов,,13
Разработка и оформление коммерческого предложения. дизайн,Дизайн продукции,,7
БД на основе Яндекс маркета,Базы данных,,2
Дизайнер шрифта,Шрифты,$10,указан
DLE 10.1. Добавить 2 дополнительных языка,Системы управления (CMS),,1
Нужен разработчик на Opencart,Системы управления (CMS),$20,указан
Перенести в корел,Иллюстрации и Рисунки,,18
Нужен графический дизайнер,Иллюстрации и Рисунки,,4
SEO оптимизация сайта,Поисковые системы (SEO),,17
Персональные открытки,Дизайн продукции,$50,3
Создание и ведение группы в фейсбук.,Социальные сети (SMM и SMO),,8
Дизайн сайта,Дизайн сайтов,,20
Необходим сайт для проведения детского конкурса ГО,Сайты «под ключ»,,5
Яндекс директ для сайта,Контекстная реклама,,16
СММ на два проекта,Контекстная реклама,,4
Нужен райтер на простые темы.,Копирайтинг,,19
"Требуется собрать базу сайтов, у которых есть группа Вконтакте",Наполнение сайтов,$50,7
Программа генератор просмотров youtube,Веб-программирование,,4
Создание видео ролика в 3Д,Видеомонтаж,,3
Разработка дизайна логотипа автомойки самообслуживания,Логотипы и Знаки,,указан
"Нужен ответственный,  оригинальный и активный SMMщик",Социальные сети (SMM и SMO),$380,6
Курсовая работа по Надежности технических систем и техногенный риск,"Рефераты, Курсовые и Дипломы",,нет
Адаптивная верстка,HTML-верстка,,указан
Требуется сео копирайтер на русском и английских языках,Копирайтинг,,3
Копия лендинга,HTML-верстка,,34
Нужно залить около 400 товаров на сайт (движок - Битрикс),Наполнение сайтов,$38,указан
Требуется доработать сайт на CMS Drupal (for NR),Системы управления (CMS),,указан
Доклад по Основы организации и управления в строительстве,"Рефераты, Курсовые и Дипломы",,2
Фото баннер(фотошоп),Обработка фотографий,,16
Разработка персонажа,Иллюстрации и Рисунки,,15
Корректировка курсовой работы,"Рефераты, Курсовые и Дипломы",,3
Контрольная работа по физике,"Рефераты, Курсовые и Дипломы",,1
Контрольная работа по физике,"Рефераты, Курсовые и Дипломы",,1
Требуется наполнить сайт на Wordpress,Наполнение сайтов,,5
Необходимо оптимизировать сайт на Joomla 2.5 под мобильные устройства,Веб-программирование,,6
Вёрстка сайта,HTML-верстка,,22
"Обрисовать, нарисовать по образцу в векторе",Иллюстрации и Рисунки,,15
Программист 1С 7.7,1С-программирование,,5
Программа для прохождения тестов в браузере.,Веб-программирование,,7
Настройка системы тестирования quiz Drupal 7,Веб-программирование,,2
Чистка семантики + объявления,Контекстная реклама,,6
Перевод 50+ статей общетехнического характера с Английского,Переводы,$200,36
Верстка и разработка сайта на YII 2 фреймворке,Веб-программирование,,указан
Сделать мобильную адаптацию сайта на Symfony,HTML-верстка,,5
Модуль для Opencart,Веб-программирование,,5
Минимальные доработки лендинга. Работы на 10 минут,HTML-верстка,$4,указан
"Перенести базу заказов из excel в retailCRM через API, скрипт",Веб-программирование,,1
Срочно закончить сайт на джумле 3хх,Веб-программирование,,4
Подправить скрипт сортировки картинок в Wordpress по их размеру,Веб-программирование,,2
Написать положительный отзыв о покупке товара в магазине,Копирайтинг,$15,35
Отредактировать тему Wordpress,Дизайн сайтов,,7
Разработка лендинга по готовому макету,HTML-верстка,,8
Баннерный рисовальщик для ИМ,Баннеры,$5,21
Продвижение сайта (адреса) в Google картах.,Поисковые системы (SEO),,6
Копирайтер на информационный проект медицинской тематики,Копирайтинг,,1
Intel XDK + admob,Прикладное ПО,,нет
Доработка сайта на Joomla,Веб-программирование,,1
Приложение для клиентов компании,ПО для мобильных устройств,$300,8
"Требуется сделать 10 баннеров, можно одного концепта.",Баннеры,,22
Доработка шаблона Wordpress,Дизайн сайтов,,1
Установить верстку магазина на Shop-Script,HTML-верстка,$150,указан
Требуется написание несложных статей для сайта,Копирайтинг,,20
Написать контент для сайта,Копирайтинг,,6
Нужны 2 РАБОЧИХ файла: index.php и admin.php с ShopCMS 3.0 RC1 vip БЕЗ,Веб-программирование,,3
Нужно сделать каталоги продукции.,Дизайн продукции,,17
Копирайтинг с ключами,Копирайтинг,$100,35
Логотип для ветеринарного центра,Логотипы и Знаки,$50,указан
Логотип для дизайн-студии,Логотипы и Знаки,$150,52
Доработки сайта на битрикс,Веб-программирование,,2
Исполнитель на прозвон клиентской базы,Служба поддержки,,1
Создание сайта на основе лендинга,Веб-программирование,$200,5
Описание жилых комплексов,Копирайтинг,,35
Дизайн сайта,Дизайн сайтов,,указан
"Сверстать и натянуть несложный сайт на WP, по ТЗ, без макета",Системы управления (CMS),,2
Доработка проекта на Drupal 7,Веб-программирование,,4
Сверстать футер и натянуть на WP (уровень: EASY),HTML-верстка,,25
1000 подписчиков в группу или паблик Вконтакте,Социальные сети (SMM и SMO),,12
Seo для магазина на Etsy,Поисковые системы (SEO),,7
Продвинуть лендинг по 10 запросам,Поисковые системы (SEO),,10
Анимированные объекты на карте,Анимация,,5
Настроить контекстную рекламу в гугле,Контекстная реклама,,13
Дизайн и верстка газеты,Верстка полиграфии,,12
"Нужны авторы в теме ""продукция Apple""",Копирайтинг,,14
Новогодние открытки,Иллюстрации и Рисунки,,10
Проектный swot-анализ для будущей торговой точки,Финансовые услуги,,2
Вёрстка выпадающего мобильного меню,HTML-верстка,$15,20
Opencart - добавить в форму обратной связи возможность загрузки файлов,Веб-программирование,,6
Доработка сайта на фреймворк CodeIgniter,Веб-программирование,$55,12
Буклет,Верстка полиграфии,,15
Написание вирального!! контента по теме отношения/знакомства/общение,Копирайтинг,,11
Провести краткий swot-анализ для будущей торговой точки,Финансовые услуги,,нет
Сделать лендинг на 5 экранов,Веб-программирование,,4
Верстка главной страницы и 1 внутренней + поставить на движок ),HTML-верстка,,указан
Требуется разработать вариант декоративного элемента,Логотипы и Знаки,$15,16
Небольшие доработки сайта на dle,Веб-программирование,$10,нет
Создание сайта,Сайты «под ключ»,,24
"[php, .zip, библиотека imagick] Преобразование изображений",Веб-программирование,$88,указан
Avito разместить мои обьявления,Социальные сети (SMM и SMO),,11
Сделать доработку для Joomshopping,Веб-программирование,,2
Доработка,Веб-программирование,,3
Программист со знанием CMS битрикс,Интернет-магазины,,10
Передать заявку из сайта в AMO CRM,Веб-программирование,,4
Продвижение сайта путем добавления ссылок,Поисковые системы (SEO),,10
Разработать приложение VBA для Автокада 2017 для распечатки проектов,Прикладное ПО,,2
Компонент викторины под Joomla 3.x.x,Системы управления (CMS),,указан
Тайный покупатель,Служба поддержки,,9
Нужен специалист по битриксу,Системы управления (CMS),,6
Переделать навигационное меню,HTML-верстка,,4
Тематический сайт знакомств под ключ,Сайты «под ключ»,$400,18
Дизайн метафорических карт,Дизайн продукции,,8
Раскрутка группы в ВК,Социальные сети (SMM и SMO),,9
Проверка индексации сайта в Яндексе и Гугле,Прикладное ПО,,1
Управленческий и финансовый учет для оптовой компании,Финансовые услуги,,6
Создать сайт / срочно,Интернет-магазины,,8
Объект в артлантис,3D-графика,$150,5
Раскрутка групп ВК и fb,Социальные сети (SMM и SMO),,6
Разработка сайта строительной компании,Сайты «под ключ»,,21
"Наполнение товаров, оплата высокая.",Наполнение сайтов,,26
Ищу html-верстальщиков на постоянное удаленное сотрудничество.,HTML-верстка,,27
"Верстка и установка на хостинг ""OpenCart""",HTML-верстка,,указан
Сделать лэндинг,Дизайн сайтов,,57
Сделать сайт адаптивным,HTML-верстка,,17
"Написать статью по предмету ""Психология и педагогика высшей школы""",Копирайтинг,,5
Срочно нужно настроить Яндекс метрику,Интернет-магазины,,3
Фирменный стиль,Фирменный стиль,,16
Заполнить ЛП текстом и фотографиями,Наполнение сайтов,,2
PSD to HTML (front-end),HTML-верстка,,18
Cделать СМС рассылку по моим подписчикам,Веб-программирование,,2
Настройка goautodial (vicidial),Системное администрирование,,1
Адаптация дизайна под Tilda,HTML-верстка,,2
Привести сайт в порядок!,Дизайн сайтов,,26
Курсовая теплотехнический расчет,"Рефераты, Курсовые и Дипломы",,указан
Разработка Лендинга,Сайты «под ключ»,,31
Сделать EMAIL рассылку,Служба поддержки,,10
Перенести с joomla+jbzoo на joomla+k2 или ваше решение.,Системы управления (CMS),$120,указан
Получить данные по API,Веб-программирование,,7
Добавить в каталог сайта компании по рубрикам,Наполнение сайтов,,4
Дизайн для сайта-каталога / производственная тема,Дизайн сайтов,,38
Придумать функционал страницы,Дизайн сайтов,$10,2
Доработать сайт на wordpress,Веб-программирование,,3
Доработка сортировки и данных товарного предложения,Веб-программирование,,3
Настройка смс рассылки с 1C по средствам Asterisk FreePBX и Goip4,Системное администрирование,,2
Подключить форму подписки к блогу,Системы управления (CMS),,4
Натянуть верстку на главную страницу сайта,Системы управления (CMS),$20,4
"Сделать качественный рерайт текстов ""Маршруты туристических походов""",Копирайтинг,,23
Перенести рекламную кампанию на другой аккаунт адвордс,Контекстная реклама,,2
Нужно провести интеграцию Drupal,Веб-программирование,,3
Раздублировать мое объявление на 1000 форумов,Наполнение сайтов,,4
Сверстать мобильную версию сайта,HTML-верстка,,32
Нужен программист,Веб-программирование,,6
Курсовая работа по Фармакогнозии,"Рефераты, Курсовые и Дипломы",,1
Нужно порядка 100 текстов,Копирайтинг,,7
Перевод мета-тегов сайта на немецкий,Переводы,,9
Разработать логотип,Логотипы и Знаки,,36
Desktop приложение для Mac(OS El Capitan),Прикладное ПО,,2
Тексты для Турагентства,Копирайтинг,,36
В течении суток поправить парсинг PHPQuery в магазин на OpenCa,Веб-программирование,,3
Курсовая работа по управлению делами,Дизайн сайтов,,2
Необходимо сделать Reskin элементов исходников приложения,ПО для мобильных устройств,,3
Разработать backend мобильного приложения,ПО для мобильных устройств,$630,5
Перенести магазин на prestashop с одного домена на другой,Системы управления (CMS),,4
Настройка заказа на маркете OpenCart,Веб-программирование,,1
Контрольная работа по прикладной геодезии,"Рефераты, Курсовые и Дипломы",,нет
Верстка и интеграция в 1С-Битрикс,HTML-верстка,,2
Разработать 3Д герба по имеющемуся вектору,3D-графика,,16
Разработка на LiveStreet cms,Сайты «под ключ»,,3
Интервьюер,Наполнение сайтов,,12
Наполнение сайта контентом,Веб-программирование,,указан
Исправить цвета в дизайне сайта,Дизайн сайтов,,19
На существующем сайте сменить дизайн,Сайты «под ключ»,,2
Написания  серверной части сайта,Системное администрирование,,1
PHP программинг сайта,Веб-программирование,,13
Сделать правки в wordpress-проекте,Веб-программирование,,2
Исправить фильтр на движке codeigniter,Веб-программирование,,3
Сделать слайд для Раcширения Joomla Gridbox,Веб-программирование,,нет
Bitrixvm создание почтовых ящиков,Системное администрирование,,4
Сайт-каталог компаний,Сайты «под ключ»,,15
Нужны короткие мультфильмы 10 шт приблизительно 3 минуты 2D,Анимация,,12
Сделать меню в ВК на вики разметки,Дизайн сайтов,,10
Нужно доверстать блок в каталог,HTML-верстка,,30
Сортировка/фильтр webasyst7,Веб-программирование,,нет
Разработка дизайна сайта для клининговой компании,Дизайн сайтов,,указан
Дизайн баннера на html5,Баннеры,,7
Продающий лендинг на Tilda,Сайты «под ключ»,,3
Написание базы данных,Базы данных,,16
Сделать редизайн сайта,Дизайн сайтов,,33
Вытащить фото из .mov + обработка,Обработка фотографий,$30,27
Написать текст для сайта центра косметологии,Копирайтинг,,19
Синхронизировать базу данных с модулем поиска авиабилетов,Веб-программирование,,2
Написание бота,Веб-программирование,,4
Разработать дизайн landing page для акции,Дизайн сайтов,,53
Расширенные пользовательские поля DLE. Модуль,Веб-программирование,,2
Торгово-транспортный портал - доработка и запуск,Веб-программирование,$5000,5
Доработать проект на Битриксе,Веб-программирование,,3
Требуется веб-программист на удаленную работу (полная занятость),Веб-программирование,$1000,3
Монтаж видео. Склеить видео и сделать клип,Видеомонтаж,,15
Ищу копирайтера,Копирайтинг,,15
Почистить WP сайт от вирусов,Системы управления (CMS),,8
Заливка сайта на хостинг и подключение доменного имени,Веб-программирование,,5
Написание ПО для установки расширения в браузере Chrome,Прикладное ПО,,5
Добавить корзину к таблице,Веб-программирование,,1
Требуется разработка сайта для салона керамической плитки.,Сайты «под ключ»,,32
"Разработка сайта для ""под ключ""",Сайты «под ключ»,$120,33
Описание товаров с aliexpress,Копирайтинг,,14
"Модуль DLE, программист DLE",Системы управления (CMS),$50,нет
Сделать несколько правок wordpress,Системы управления (CMS),,2
Исправление ошибок на сайте,Веб-программирование,,2
Форма записи на прием,Веб-программирование,,6
Нужен толковый верстальщик,HTML-верстка,,12
Нужен толковый верстальщик,HTML-верстка,,12
Нужен копирайтер,Копирайтинг,,31
WP. 6 в 1 Поменять футер. Верстка и натяжка. Пункты меню (easy),Дизайн сайтов,,5
Создание интернет-магазина на Wordpress с использованием Woocommerce,Интернет-магазины,,14
Собрать базу видео роликов с YouTube/других источников.,Наполнение сайтов,,1
Исправить несколько багов в Опенкарте,Системы управления (CMS),$7,6
Правки на сайте Opencart (1C Бухгалтерия),Веб-программирование,,нет
Найти и решить проблему долгой загрузки сайта (Debian/Django-Python),Веб-программирование,,2
Написание текстов строительной тематики,Копирайтинг,,12
SEO-специалист для постоянной удаленной работы,Поисковые системы (SEO),,9
"Векторная графика,Концепт-арт,Логотипы,Каллиграфия и леттеринг",Иллюстрации и Рисунки,,9
Сделать приложение на Android и iOS,ПО для мобильных устройств,,6
Запись Звука,Озвучивание,,указан
"Оптимизация сайта (скорость, кроссбраузерность)",Веб-программирование,,указан
"Контент-менеджер вычитать, опубликовать и оформить 200 мед.статей",Наполнение сайтов,,10
Добавление описаний к товарам Opencart,Копирайтинг,,3
Создать сайт для интернет-магазина эзотерической продукции,Сайты «под ключ»,$10,15
Починить сайт на Yii,Веб-программирование,,6
Редизайн сайта,Сайты «под ключ»,,14
Php Скрипт для вывода статистики из базы,Веб-программирование,,18
Правки по верстке,HTML-верстка,,13
"Нарисовать картинки, обработать фото",Иллюстрации и Рисунки,,7
Ищу фронтэнд разработчика на доработку сайта-афиши с Angular,Веб-программирование,,3
Требуется копирайтер для компьютерного блога,Копирайтинг,,10
Нужен копирайтер на сайт,Копирайтинг,,16
Собрать семантическое ядро сайта,Поисковые системы (SEO),,17
Нужен математик. Нужно определить неизвестную из известных,"Рефераты, Курсовые и Дипломы",$150,3
Нужен программист для хост цмс,Веб-программирование,$150,5
Натянуть верстку на Wordpress,Системы управления (CMS),,14
Ищу директолога,Контекстная реклама,,12
Создать лендинг с нуля/сделать копию,Сайты «под ключ»,,11
Необходимо из PSD перерисовать в Coral Draw,Иллюстрации и Рисунки,,6
Перевод скрипта с php на python,Веб-программирование,,3
Дизайн открыток от 500 штук за 2 месяца,Дизайн продукции,$1000,17
Написание теоретической части дипломной работы по педагогике,"Рефераты, Курсовые и Дипломы",,7
Изменение кодировки сайта.,Веб-программирование,,указан
Курсовая работа по экономике,"Рефераты, Курсовые и Дипломы",,3
Придумать название и логотип,Логотипы и Знаки,$30,19
Разработка логотипа,Логотипы и Знаки,,29
Подлючить интернет эквайринг от Сбербанка к магазину на Opencart,Системы управления (CMS),,1
Написать несколько статей для аквапарка,Копирайтинг,,указан
Разработка закрытой биржи контента,Веб-программирование,,6
Необходим концепт логотипа,Логотипы и Знаки,,19
Ищу контент менеджера для подбора картинок к тексту (Вордпрес),Наполнение сайтов,,39
Требуется разработка дизайна (CRM/DMS/Angular/React.js),Дизайн сайтов,,5
Скопировать сайт с личным кабинетом,Веб-программирование,,7
Парсинг на PhpQuery,Веб-программирование,$110,5
Продвинуть в топ Гугл сайт по НЧ,Поисковые системы (SEO),,12
Исправить ошибку в Wordpress,Системы управления (CMS),,8
Перенести postgresql на новый том и перенастроить бэкап,Веб-программирование,,2
Проектирование информационной системы (UML),"Рефераты, Курсовые и Дипломы",,2
Сбор семантики. Попроектная оплата,Поисковые системы (SEO),,6
Подключение платежной системы Assist + настройка,Веб-программирование,,нет
Перенос контента с CMS Joomla(Virtuemart)   на CMS Opencart,Веб-программирование,,4
Исправления во внешнем виде и работе сайта,Дизайн сайтов,,указан
Логотип для медицинского сайта,Логотипы и Знаки,$20,21
Курсовая по банковскому делу,"Рефераты, Курсовые и Дипломы",,2
"Нужно создать приложение под смартофон (андроид, iOS)",ПО для мобильных устройств,,2
Перевед с русского на немецский,Переводы,,17
Дизайн листовки,Верстка полиграфии,,14
Логотип для ивент агенства,Логотипы и Знаки,$20,29
Нужна иллюстрация арт-персонажа,Иллюстрации и Рисунки,,9
Front End на yii2,Веб-программирование,,нет
Описание фильмов на сайт,Копирайтинг,,7
WP. Форма обратного звонка на сайт. (Сложность - easy),Веб-программирование,,9
Помощь по настройке шаблона Wordpress,Системы управления (CMS),,указан
Разместить код на отдельные страницы сайта,Веб-программирование,,3
Дизайн рекламной афиши отдела корейских салатов,Дизайн продукции,$10,9
Уникализировать текст,Копирайтинг,,7
Админка для редактирования контента.,Веб-программирование,,10
Перевод на турецкий,Переводы,,12
Написать яркий заголовок и описание к видео (задание для девушек),Копирайтинг,,8
Настройка RtbKit,Системное администрирование,,нет
"Презентации приложения, промо-ролик",Видеомонтаж,,7
Наполнение сайта на 1С-Битрикс,Наполнение сайтов,,4
Интернет магазин,Интернет-магазины,,21
Качественные профили 4 соцсетей,Социальные сети (SMM и SMO),$75,5
Создать LP на готовой платформе типа tilda.cc,Сайты «под ключ»,,6
Интернет магазин,Интернет-магазины,$15,8
Курсовая. Дисциплина: гражданское право,"Рефераты, Курсовые и Дипломы",,5
Реферат по истории,"Рефераты, Курсовые и Дипломы",,4
PHP скрипт загрузки фотографий на бесплатное хранилище фотохостинг,Веб-программирование,$14,5
Приложение для сообщества ВК,ПО для мобильных устройств,,2
Дизайн сайта (обычный корпоративный сайт),Дизайн сайтов,$50,46
Разработать модуль оплаты для биткоинов,Веб-программирование,,2
Перевод текста на немецкий язык,Переводы,,25
Загрузка фото при помощи lazyload,Веб-программирование,,6
Создание страницы html+js,Веб-программирование,,8
